web100_log_entry_log_time,web100_log_entry_connection_spec_remote_ip,web100_log_entry_snap_HCThruOctetsAcked,web100_log_entry_snap_SndLimTimeRwin,web100_log_entry_snap_SndLimTimeCwnd,web100_log_entry_snap_SndLimTimeSnd,web100_log_entry_snap_MinRTT,web100_log_entry_snap_MaxRTT,web100_log_entry_snap_SumRTT,web100_log_entry_snap_CountRTT,web100_log_entry_snap_MaxMSS,web100_log_entry_snap_MaxPipeSize,web100_log_entry_snap_SegsRetrans,web100_log_entry_snap_SegsOut,web100_log_entry_snap_DataSegsOut,web100_log_entry_snap_CongSignals,web100_log_entry_snap_Timeouts,web100_log_entry_snap_DupAcksOut,web100_log_entry_snap_ECNsignals,web100_log_entry_snap_PreCongSumCwnd,web100_log_entry_snap_PreCongSumRTT,connection_spec_client_geolocation_country_code,connection_spec_server_geolocation_country_code
1389919905,186.95.32.137,3874488,8107818,2093069,268703,202,710,374770,832,1448,,0,2863,2863,0,0,0,,0,0,VE,
1398467214,186.188.104.134,582408,0,9981814,606933,179,451,27736,120,1448,,3,413,413,3,0,1,,47784,764,VE,
1385226538,186.14.219.11,456168,5455306,4493812,188021,106,1570,98866,136,1460,,1,332,332,1,0,0,,65700,1226,VE,US
1389572461,200.75.126.58,1686012,0,10095578,334172,83,317,70136,538,1452,,7,1185,1185,4,0,0,,108900,475,VE,US
1390950989,186.14.226.226,959976,9750651,335205,169195,63,204,59461,659,536,,0,1807,1807,0,0,0,,0,0,VE,US
1391316926,200.8.48.226,67160,631959,16215645,221753,531,913,8700,12,1460,,9,58,58,3,1,0,,24820,2243,VE,
1401086695,181.208.244.124,2042056,7466066,2849826,336500,173,1177,342751,627,1448,,1,1517,1517,0,1,0,,0,0,VE,
1388274052,186.167.243.11,1794748,5185935,4951963,286789,164,1027,423402,759,1012,,13,2111,2111,1,0,244,,155848,800,VE,
1394340113,179.23.175.175,433624,1260155,8866534,373688,239,2165,51348,133,1400,,2,323,323,2,0,0,,68600,669,VE,
1392591647,186.188.103.59,97352,0,11463444,1412783,333,1080,41743,44,1448,,3,82,82,1,0,0,,14480,1034,VE,
1389832256,190.200.50.14,229120,0,9871371,243454,216,553,20347,77,1448,,6,173,173,2,1,0,,21720,812,VE,
1390964217,200.8.247.137,52128,0,9480440,225017,71,3024,21941,21,1448,,6,48,48,0,2,0,,0,0,VE,
1385343746,186.95.144.245,36500,0,10544472,191472,509,845,4746,7,1460,,5,35,35,3,1,0,,14600,2059,VE,US
1388706260,186.90.223.243,5866360,647507,9456538,287345,173,350,487614,1862,1460,,56,4205,4205,1,0,0,,343100,350,VE,GB
1388705799,186.89.85.136,506620,0,10029690,229912,203,570,51236,155,1460,,5,364,364,2,0,0,,51100,801,VE,GB
1385730507,186.89.85.138,1996468,8586796,1486200,196873,185,365,197150,684,1460,,0,1412,1412,0,0,0,,0,0,VE,
1394398678,186.92.131.241,712480,1338955,9009799,183912,149,624,60616,190,1460,,10,511,511,2,0,0,,78840,969,VE,US
1395020419,190.142.120.230,251416,0,10243990,230895,298,599,37131,98,1448,,2,187,187,2,0,0,,24616,819,VE,
1391300523,186.188.39.207,778080,5324276,6668128,281866,230,1660,199546,224,1460,,2,716,716,1,1,0,,262800,1567,VE,US
1399416926,200.8.240.54,777448,2355319,7522089,785596,290,3863,109544,267,1460,,5,730,730,1,1,0,,262800,727,VE,KE
